train_loss_step,lr,epoch,step,val_loss,val_dice,train_loss_epoch
0.5053830742835999,0.0029294926207512617,0,49,,,
0.5794005393981934,0.0027191347908228636,0,99,,,
0.46920281648635864,0.0023894887417554855,0,149,,,
0.4820331931114197,0.0019728222396224737,0,199,,,
0.5592719912528992,0.0015099216252565384,0,249,,,
0.42015188932418823,0.0010460986522957683,0,299,,,
0.42468929290771484,0.0006267556454986334,0,349,,,
0.46676987409591675,0.0002929408219642937,0,399,,,
0.4189472794532776,7.733033271506429e-05,0,449,,,
0.5162438154220581,1.0295988204234163e-06,0,499,,,
0.4112274646759033,7.150747842388228e-05,0,549,,,
0.4436247944831848,0.0002818650973495096,0,599,,,
,,0,641,0.4947485327720642,0.5158358216285706,
,,0,641,,,0.4853541851043701
0.4189348816871643,0.0006115111755207181,1,649,,,
0.4848291277885437,0.00102817767765373,1,699,,,
0.4306327700614929,0.001491078408434987,1,749,,,
0.41056597232818604,0.001954901497811079,1,799,,,
0.4255140423774719,0.002374244388192892,1,849,,,
0.4412297010421753,0.0027080592699348927,1,899,,,
0.4346064329147339,0.002923669759184122,1,949,,,
0.42299944162368774,0.002999970456585288,1,999,,,
0.4548425078392029,0.0029294926207512617,1,1049,,,
0.39762163162231445,0.0027191347908228636,1,1099,,,
0.4196995496749878,0.0023894887417554855,1,1149,,,
0.48778271675109863,0.0019728222396224737,1,1199,,,
0.4749378561973572,0.0015099216252565384,1,1249,,,
,,1,1283,0.4765251874923706,0.5324611663818359,
,,1,1283,,,0.4454852342605591
0.41885095834732056,0.0010460986522957683,2,1299,,,
0.4309845566749573,0.0006267556454986334,2,1349,,,
0.45189517736434937,0.0002929408219642937,2,1399,,,
0.420051634311676,7.733033271506429e-05,2,1449,,,
0.36946314573287964,1.0295988204234163e-06,2,1499,,,
0.4343472719192505,7.150747842388228e-05,2,1549,,,
0.42661458253860474,0.0002818650973495096,2,1599,,,
0.3637847900390625,0.0006115111755207181,2,1649,,,
0.4127355217933655,0.00102817767765373,2,1699,,,
0.3406161069869995,0.001491078408434987,2,1749,,,
0.3650515079498291,0.001954901497811079,2,1799,,,
0.4290989637374878,0.002374244388192892,2,1849,,,
0.41853833198547363,0.0027080592699348927,2,1899,,,
,,2,1925,0.493182510137558,0.5204430222511292,
,,2,1925,,,0.40295496582984924
0.4458509683609009,0.002923669759184122,3,1949,,,
0.4264069199562073,0.002999970456585288,3,1999,,,
0.43200814723968506,0.0029294926207512617,3,2049,,,
0.48598194122314453,0.0027191347908228636,3,2099,,,
0.45459455251693726,0.0023894887417554855,3,2149,,,
0.3775330185890198,0.0019728222396224737,3,2199,,,
0.3884273171424866,0.0015099216252565384,3,2249,,,
0.3683314323425293,0.0010460986522957683,3,2299,,,
0.4572116732597351,0.0006267556454986334,3,2349,,,
0.3653346300125122,0.0002929408219642937,3,2399,,,
0.3200681805610657,7.733033271506429e-05,3,2449,,,
0.3091524839401245,1.0295988204234163e-06,3,2499,,,
0.415885329246521,7.150747842388228e-05,3,2549,,,
,,3,2567,0.4311996102333069,0.578059732913971,
,,3,2567,,,0.4036481976509094
0.4049564599990845,0.0002818650973495096,4,2599,,,
0.5016005039215088,0.0006115111755207181,4,2649,,,
0.34395575523376465,0.00102817767765373,4,2699,,,
0.3832858204841614,0.001491078408434987,4,2749,,,
0.39789730310440063,0.001954901497811079,4,2799,,,
0.3840309977531433,0.002374244388192892,4,2849,,,
0.38077521324157715,0.0027080592699348927,4,2899,,,
0.4122064709663391,0.002923669759184122,4,2949,,,
0.4512929320335388,0.002999970456585288,4,2999,,,
0.3746349811553955,0.0029294926207512617,4,3049,,,
0.41173940896987915,0.0027191347908228636,4,3099,,,
0.42827337980270386,0.0023894887417554855,4,3149,,,
0.38050663471221924,0.0019728222396224737,4,3199,,,
,,4,3209,0.47050896286964417,0.5392616391181946,
,,4,3209,,,0.4018430709838867
0.34703707695007324,0.0015099216252565384,5,3249,,,
0.3316343426704407,0.0010460986522957683,5,3299,,,
0.3763391971588135,0.0006267556454986334,5,3349,,,
0.33513063192367554,0.0002929408219642937,5,3399,,,
0.36970317363739014,7.733033271506429e-05,5,3449,,,
0.33236992359161377,1.0295988204234163e-06,5,3499,,,
0.41164761781692505,7.150747842388228e-05,5,3549,,,
0.34265774488449097,0.0002818650973495096,5,3599,,,
0.3760875463485718,0.0006115111755207181,5,3649,,,
0.3896695375442505,0.00102817767765373,5,3699,,,
0.4113882780075073,0.001491078408434987,5,3749,,,
0.4019719958305359,0.001954901497811079,5,3799,,,
0.36224061250686646,0.002374244388192892,5,3849,,,
,,5,3851,0.453939825296402,0.5564325451850891,
,,5,3851,,,0.377254843711853
0.3445269465446472,0.0027080592699348927,6,3899,,,
0.32698410749435425,0.002923669759184122,6,3949,,,
0.4179590344429016,0.002999970456585288,6,3999,,,
0.42207175493240356,0.0029294926207512617,6,4049,,,
0.4277929663658142,0.0027191347908228636,6,4099,,,
0.4179152250289917,0.0023894887417554855,6,4149,,,
0.3722216486930847,0.0019728222396224737,6,4199,,,
0.40976691246032715,0.0015099216252565384,6,4249,,,
0.32150882482528687,0.0010460986522957683,6,4299,,,
0.33844202756881714,0.0006267556454986334,6,4349,,,
0.3787180185317993,0.0002929408219642937,6,4399,,,
0.3163501024246216,7.733033271506429e-05,6,4449,,,
,,6,4493,0.4239861071109772,0.585291862487793,
,,6,4493,,,0.385680615901947
0.406453013420105,1.0295988204234163e-06,7,4499,,,
0.3712954521179199,7.150747842388228e-05,7,4549,,,
0.3293820023536682,0.0002818650973495096,7,4599,,,
